route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
44ad5a8097da62ee1b5d3adc236b56de,50,106B,Tallinn - Loo,3,3bb5db,Harjumaa ÜTK,
fda7f0a41043a875970e7c6673abb169,71,18,Rapla - Kohila,3,3bb5db,Rapla MV,
0824c15b232cb37e637913f4b63afa57,56,41,Balti jaam - Landi,3,de2c42,Tallinna TA,
1346f6f53a54c055b8a72e53d51f2d8c,56,63,Priisle - Maneeži,3,de2c42,Tallinna TA,
de658bff85be8be7b2191829ea07ec90,60,863,Haapsalu - Tallinn,3,660000,Maanteeamet,
38d2575638fa7e91a5baf6f4a1cc1bf5,100046,1,Keskl-Haigla-Tuulte R-Keskl-Kudj.-Nooruse-Keskv,3,de2c42,Saare MV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Liin ei ole käigus riigipühadel<br>ajutine muudatus seoses Aia tn läbimurdega"
82f00cbb707de581e42b137af67c479f,60,1,FI - Nõlvaku,3,de2c42,Tartu LV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
19cf7c0c01fcab5956a6f19df0d7405e,317,1,Piira - Näpi,3,de2c42,Lääne-Viru MV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
a38a34591da7785f868fa3cbebd97f1e,50,1,Merimetsa - Papiniidu - Riia mnt - Vana-Pärnu,3,de2c42,Pärnu LV,
0e7c30c53ded8eddc9fd8b13119b9512,71,1,Rapla raudteejaam - Rapla,3,3bb5db,Rapla MV,
ac10b328cb571a14cc96e0b0e2335d43,100047,1,Tolli - Tartu - Rohelise - Raekoja - Jaama - Rohelise - Tolli,3,3bb5db,Valga MV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Puhkepäevadel ja riiklikel pühadel alustab liin 07:17; 1.september kuni 30.aprill lõpetab liin kell 20:19<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Puhkepäevadel ja riiklikel pühadel alustab liin 06:57 ja lõpetab 14:56; 1.september kuni 30.aprill lõpetab liin kell 20:19; 01.mai kuni 31.august lõpetab liin teenindamise 21:30"
521957de6d4963a613e683328ee6910a,317,1,Kalda - Rohuküla sadam,3,3bb5db,Lääne MV,"Liini komentaarid:<br>TASUTA<br>TASUTA"
efc163c0565f0fefe9c63811bc3ffcd8,869,1,Iisaku - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Riigipühadel kehtib pühapäevane sõiduplaan"
b48fe22da04bd9e532355c5bcfb0e06c,56,1,Kopli - Kadriorg,0,016e12,Tallinna TA,
c012caabd0686d3bdca3d53c04307c2c,56,1,Mustamäe - Kaubamaja,800,1ccc48,Tallinna TA,
226b298d688e3712a94112098241d121,100047,10,Männimäe - Paalalinn - Haigla - Bussijaam - Männimäe,3,de2c42,Viljandi MV,"Liini komentaarid:<br>TASUTA<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi<br>Ümbersõidu info Viljandi linnas teetööde ajal  https://transport.viljandimaa.ee/2020/10/09/busside-liikumine-viljandis/"
ae613439c9ac436afef59857fcdabebf,60,10,Kvissentali-Annelinn-Ringtee-Rdt.jaam,3,de2c42,Tartu LV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
ff8883fb2797347708de304fe3248171,50,10,Raja - Mai - Karja - Vana-Pärnu,3,de2c42,Pärnu LV,"Liini komentaarid:<br>Raja peatuses kohtumine liini nr 14 bussiga<br>Teatri peatuses kohtumine liini 14 bussiga<br>Tallinna maantee Raeküla suuna kohtumispeatus liini nr. 14 bussiga üle viidud bussijaama peatusse"
298f6bffc1ba1c098dd1b3f903a0ca8a,56,10,Väike-Õismäe - Vana-Pääsküla,3,de2c42,Tallinna TA,
46d87cc319b530626bd056b93744ccc8,71,10,Rapla - Juuru - Järlepa - Kohila,3,3bb5db,Rapla MV,
2418889527eb786f92be15c1a48ad9ef,60,10,Rakke - Simuna - Salla,3,3bb5db,Lääne-Viru MV,"Liini komentaarid:<br>Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
c5ec08556ad50c8c7648900dbef93c88,317,10,Haapsalu - Sepaküla - Ahli - Mägari - Haapsalu,3,3bb5db,Lääne MV,"Liini komentaarid:<br>TASUTA"
b6d7bd6c5a1225493998176f381093c1,100047,100,Jõgeva - Aidu - Põltsamaa,3,3bb5db,Jõgeva ÜTK,"Liini komentaarid:<br>Liin ei ole käigus riigipühadel<br>TASUTA"
dcc51e61358cf6765b751a5b1ff9ee63,60,100,Kiviõli - Kohtla-Järve - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Riigipühadel kehtib pühapäevane sõiduplaan"
e1a0cb3f9d5e91634975bff1974d9361,50,100,Tallinn - Laagna - Maardu,3,3bb5db,Harjumaa ÜTK,
da97cc7bad682bb1a55fd4aa714d5aea,60,100-1,Rakvere - Vaeküla - Kiviõli - Kohtla-Järve - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Liin ei ole käigus riigipühadel"
0476ff972e5fb523bc1e956f94eedd70,60,100B,Jõhvi - Kohtla-Järve - Kiviõli - Püssi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>Riigipühadel kehtib pühapäevane sõiduplaan<br>TASUTA<br>Väljumiste kommentaarid:<br>Väljumine : Gümnaasiumi, Erra-Liiva, Männiku, Lüganuse ja Püssi peatuseid Kiviõlist Püssi suunas teenindatakse reisijate olemasolul ainult väljumiseks"
06f8e0955e4c068fef9db0da1be31206,60,100C,Savala - Kiviõli - Kohtla-Järve - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Riigipühadel kehtib pühapäevane sõiduplaan"
32e1df03ca0317c70be68f3f61b4404c,60,100D,Sonda - Kiviõli - Saka mõis - Kohtla-Järve - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Liin ei ole käigus riigipühadel"
71fa0dfed515bf031ec9e0adbd74c21c,60,101,Valga - Karksi-Nuia - Viljandi - Mäo - Tallinn,3,660000,Maanteeamet,
400cc0551531c23a1567f035f063be5b,71,101,Võru kesklinn - Väimela - Parksepa - Võru kesklinn,3,3bb5db,Võru MV,"Liini komentaarid:<br>TASUTA<br>Käigus koolipäevadel"
f6541808fab597f22297c2c9f180e475,100047,101,Jõgeva - Aidu - Põltsamaa,3,3bb5db,Jõgeva ÜTK,"Liini komentaarid:<br>Käigus ka riigipühal juhul, kui riigipühale järgneb tööpäev<br>TASUTA"
819f0761383b488b749c8d2fe67634b1,50,101,Tallinn - Maardu,3,3bb5db,Harjumaa ÜTK,
8950ce4fb71870535eb7585ca41db883,60,101-1,Kiviõli - Purtse - Kohtla-Järve - Jõhvi - Keskhaigla,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>Riigipühadel reise ei toimu<br>TASUTA"
339f6dc54f7e5e69e16aacddc01e0073,60,101-2,Sonda-Savala-Kiviõli-Kohtla-Järve-Jõhvi-Keskhaigla,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Liin ei ole käigus riigipühadel"
06c06a27db571b62a976228d34ec5023,60,101-3,Savala - Kiviõli - Kohtla-Järve - Jõhvi - Keskhaigla,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Liin ei ole käigus riigipühadel"
5ff8a91695f5850b952855311b84e783,60,101-4,Kiviõli - Kohtla-Järve - Jõhvi - Keskhaigla,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>Liin ei ole käigus riigipühadel<br>TASUTA"
b3730692fa80f75db9badb09df8e778e,60,101-5,Kiviõli - Kohtla-Järve - Jõhvi - Keskhaigla,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>TASUTA<br>Liin ei ole käigus riigipühadel"
57cc50d7eb234d0d4e1a685eab0c3d95,71,102,Võru kesklinn - Väimela - Võru kesklinn,3,3bb5db,Võru MV,"Liini komentaarid:<br>TASUTA<br>Ei ole käigus riigipühadel<br>Käigus E-R perioodidel: 01.09.2021-22.12.2021; 03.01.2022-10.06.2022; 01.09.2022-22.12.2022."
e0da3e41c094df4c520353cab6ff43c7,100047,102,Jõgeva - Aidu - Põltsamaa,3,3bb5db,Jõgeva ÜTK,"Liini komentaarid:<br>Liin ei ole käigus riigipühadel<br>TASUTA"
895aabfc42b728813a7be81fecc11dc4,60,102,Kiviõli - Purtse kindlus - Kohtla-Järve - Jõhvi,3,3bb5db,Ida-Viru MV,"Liini komentaarid:<br>Liin ei ole käigus riigipühadel<br>TASUTA"
72365bcc853c3b430f588a0891286f40,60,102,Tartu - Vorbuse - Kärnise - Ilmatsalu - Tartu,3,3bb5db,Tartu MV,"Liini komentaarid:<br>TASUTA<br>TASUTA"
